timestamp,location-long,location-lat,eobs.battery.voltage,eobs.fix.battery.voltage,eobs.horizontal.accuracy.estimate,eobs.key.bin.checksum,eobs.speed.accuracy.estimate,eobs.start.timestamp,eobs.status,eobs.temperature,eobs.type.of.fix,eobs.used.time.to.get.fix,ground.speed,heading,height.above.ellipsoid,height.raw,visible,sensor.type,individual.taxon.canonical.name,tag.local.identifier,individual.local.identifier,study.name,utm.easting,utm.northing,utm.zone,study.timezone,study.local.timestamp,User Temperature,User Wind Speed,User Wind Direction,raster.gmt.d2c.distance_from_land.,User 1x2 NPP,User 2x4 NPP,timestamp2,timeInterval,stepLength,User Movement Speed,User Wind U-Component,User Wind V-Component,User Tail Wind,User Cross Wind
2020-05-31 13:30:02.001,-89.74021,-1.3726410,3686,3437,12.03,2396171168,0.67,2020-05-31 13:28:48.000,A,12,3,74,0.01,21.63,16.5,NA,true,gps,Phoebastria irrorata,131,4264-84830852,Galapagos Albatrosses,195052.8,9848106.85,16S,Galapagos Time,2020-05-31 07:30:02.001,15.33841,4.14290380,-1.572987e+02,1.397167e+03,475.0168,500.5741,2020-05-31 13:30:02,0.000,0.000000e+00,0.000000e+00,-2.8633742,4.996151,-4.142179632,-0.07745831
2020-05-31 15:00:44.998,-89.74015,-1.3728941,3701,3452,2.82,2700991056,0.24,2020-05-31 14:59:59.000,A,19,3,45,0.00,95.68,12.6,NA,true,gps,Phoebastria irrorata,131,4264-84830852,Galapagos Albatrosses,195059.5,9848078.85,16S,Galapagos Time,2020-05-31 09:00:44.998,15.50378,3.88422132,-1.576905e+02,1.397167e+03,474.2830,500.0329,2020-05-31 15:00:44,5442.997,2.891786e+01,1.912629e-02,-2.4758077,4.8967624,-1.111593228,3.72176514
2020-05-31 16:30:39.998,-89.74014,-1.3728809,3701,3482,4.35,540734184,2.57,2020-05-31 16:30:00.000,A,24,3,39,0.11,13.76,17.4,NA,true,gps,Phoebastria irrorata,131,4264-84830852,Galapagos Albatrosses,195061.0,9848080.31,16S,Galapagos Time,2020-05-31 10:30:39.998,15.66776,3.62811136,-1.581358e+02,1.397167e+03,473.6378,499.5192,2020-05-31 16:30:39,5395.000,2.147346e+00,1.432891e-03,-2.0916367,4.798273,-3.591878596,-0.51146866
2020-05-31 18:00:49.998,-89.74016,-1.3728911,3691,3476,2.82,2845350485,2.61,2020-05-31 18:00:00.000,A,18,3,49,0.20,9.83,24.8,NA,true,gps,Phoebastria irrorata,131,4264-84830852,Galapagos Albatrosses,195058.9,9848079.18,16S,Galapagos Time,2020-05-31 12:00:49.998,15.83337,3.37124610,-1.586367e+02,1.397167e+03,472.9805,499.0087,2020-05-31 18:00:49,5410.000,2.446470e+00,1.627965e-03,-1.7086719,4.7026343,-3.303176149,-0.674038273
2020-05-31 19:30:18.998,-89.74013,-1.3729121,3691,3541,4.61,1429925913,2.70,2020-05-31 19:30:00.000,A,22,3,18,0.24,37.36,19.0,NA,true,gps,Phoebastria irrorata,131,4264-84830852,Galapagos Albatrosses,195062.5,9848076.86,16S,Galapagos Time,2020-05-31 13:30:18.998,16.12421,3.08563113,-1.576523e+02,1.397167e+03,472.3287,498.4917,2020-05-31 19:30:18,5369.000,4.311080e+00,2.890648e-03,-1.5699364,4.940238,-2.980319286,0.799259923
2020-05-31 21:00:20.000,-89.74017,-1.3729037,3696,3540,11.52,400999400,4.13,2020-05-31 21:00:01.000,A,26,3,19,0.09,111.41,11.4,NA,true,gps,Phoebastria irrorata,131,4264-84830852,Galapagos Albatrosses,195058.0,9848077.79,16S,Galapagos Time,2020-05-31 15:00:20.000,16.41681,2.79943776,-1.564598e+02,1.397167e+03,471.6769,497.9873,2020-05-31 21:00:20,5401.002,4.565323e+00,3.042984e-03,-1.4304051,5.179272,-0.104056331,2.797503182
2020-05-31 22:30:44.000,-89.74016,-1.3729107,3696,3482,3.58,2920223158,2.94,2020-05-31 22:30:00.000,A,20,3,44,0.05,357.83,13.4,NA,true,gps,Phoebastria irrorata,131,4264-84830852,Galapagos Albatrosses,195059.2,9848077.01,16S,Galapagos Time,2020-05-31 16:30:44.000,16.71066,2.51351643,-1.549895e+02,1.397167e+03,471.0212,497.4701,2020-05-31 22:30:44,5424.000,1.384496e+00,9.189130e-04,-1.2902614,5.419318,-2.235953561,-1.148162234
2020-06-01 00:00:43.999,-89.74015,-1.3728967,3691,3493,3.84,1273040638,2.72,2020-05-31 23:59:59.000,A,15,3,44,0.32,334.23,14.8,NA,true,gps,Phoebastria irrorata,131,4264-84830852,Galapagos Albatrosses,195060.4,9848078.56,16S,Galapagos Time,2020-05-31 18:00:43.999,17.00192,2.23352098,-1.531565e+02,1.397167e+03,470.3884,496.9670,2020-06-01 00:00:43,5399.999,1.952399e+00,1.301600e-03,-1.1539717,5.657251,-1.356168574,-1.774661311
2020-06-01 01:30:24.001,-89.74012,-1.3728937,3693,3505,3.33,3064437601,2.56,2020-06-01 01:30:01.000,A,15,3,23,0.10,27.53,10.5,NA,true,gps,Phoebastria irrorata,131,4264-84830852,Galapagos Albatrosses,195063.3,9848078.90,16S,Galapagos Time,2020-05-31 19:30:24.001,17.13528,2.27221489,-1.516295e+02,1.397167e+03,471.3232,497.7596,2020-06-01 01:30:24,5380.002,2.986740e+00,1.998561e-03,-1.4099462,5.766548,-2.271970411,-0.033331044
2020-06-01 03:00:10.998,-89.74014,-1.3729052,3696,3564,3.84,1926254587,2.65,2020-06-01 02:59:59.000,A,13,3,11,0.04,342.75,15.3,NA,true,gps,Phoebastria irrorata,131,4264-84830852,Galapagos Albatrosses,195061.5,9848077.63,16S,Galapagos Time,2020-05-31 21:00:10.998,17.26886,2.31253290,-1.501531e+02,1.397167e+03,472.2511,498.5614,2020-06-01 03:00:10,5386.997,2.263378e+00,1.512561e-03,-1.6662594,5.875983,-1.574281059,-1.69394438
2020-06-01 04:30:56.001,-89.74015,-1.3729019,3691,3458,2.82,800727322,2.20,2020-06-01 04:30:01.000,A,13,3,55,0.10,34.08,7.1,NA,true,gps,Phoebastria irrorata,131,4264-84830852,Galapagos Albatrosses,195060.4,9848077.99,16S,Galapagos Time,2020-05-31 22:30:56.001,17.40381,2.35478687,-1.487130e+02,1.397167e+03,473.1944,499.3712,2020-06-01 04:30:56,5445.003,1.128489e+00,7.461082e-04,-1.9253291,5.986598,-2.351989614,0.114743448
2020-06-01 06:00:15.001,-89.74015,-1.3728832,3691,3518,4.86,2132426587,2.61,2020-06-01 06:00:00.000,A,11,3,15,0.08,330.30,10.4,NA,true,gps,Phoebastria irrorata,131,4264-84830852,Galapagos Albatrosses,195059.7,9848080.06,16S,Galapagos Time,2020-06-01 00:00:15.001,17.53534,2.39691830,-1.473324e+02,1.397167e+03,474.1280,500.1683,2020-06-01 06:00:15,5359.000,2.173744e+00,1.460250e-03,-2.1794567,6.0942335,-1.11168375,-2.123529274
2020-06-01 07:30:11.001,-89.74012,-1.3728754,3691,3540,5.89,3527526756,3.40,2020-06-01 07:30:00.000,A,13,3,11,0.07,28.18,9.2,NA,true,gps,Phoebastria irrorata,131,4264-84830852,Galapagos Albatrosses,195063.3,9848080.93,16S,Galapagos Time,2020-06-01 01:30:11.001,17.17172,2.14854980,-1.403875e+02,1.397167e+03,475.0672,500.9625,2020-06-01 07:30:11,5396.000,3.672226e+00,2.449965e-03,-2.1325495,5.760052,-2.105920207,-0.425871253
2020-06-01 09:00:50.001,-89.74014,-1.3728957,3691,3469,2.56,3975771876,2.15,2020-06-01 09:00:00.000,A,11,3,50,0.08,350.62,10.5,NA,true,gps,Phoebastria irrorata,131,4264-84830852,Galapagos Albatrosses,195061.1,9848078.68,16S,Galapagos Time,2020-06-01 03:00:50.001,16.80518,1.93807793,-1.317185e+02,1.397167e+03,476.0013,501.7722,2020-06-01 09:00:50,5439.000,3.199654e+00,2.117808e-03,-2.085271,5.4232054,-1.036717041,-1.63748705
2020-06-01 10:30:27.000,-89.74012,-1.3729115,3686,3491,2.82,2135672436,2.29,2020-06-01 10:30:00.000,A,12,3,27,0.08,341.44,0.5,NA,true,gps,Phoebastria irrorata,131,4264-84830852,Galapagos Albatrosses,195063.1,9848076.93,16S,Galapagos Time,2020-06-01 04:30:27.000,16.44281,1.78323734,-1.213754e+02,1.397167e+03,476.9290,502.5650,2020-06-01 10:30:27,5376.999,2.713251e+00,1.816571e-03,-2.0385342,5.0902023,-0.395540928,-1.73881649
2020-06-01 12:00:56.000,-89.74012,-1.3729061,3691,3479,3.07,351694010,2.47,2020-06-01 12:00:00.000,A,12,3,56,0.10,10.49,8.6,NA,true,gps,Phoebastria irrorata,131,4264-84830852,Galapagos Albatrosses,195063.5,9848077.53,16S,Galapagos Time,2020-06-01 06:00:56.000,16.07971,1.70291567,-1.093619e+02,1.397167e+03,477.8710,503.3700,2020-06-01 12:00:56,5429.000,6.923122e-01,4.590760e-04,-1.9969348,4.757335,-0.847642966,-1.476964178
2020-06-01 13:30:32.998,-89.74010,-1.3728955,3691,3476,4.61,3950680944,3.08,2020-06-01 13:29:59.000,A,14,3,33,0.04,23.59,4.8,NA,true,gps,Phoebastria irrorata,131,4264-84830852,Galapagos Albatrosses,195065.3,9848078.70,16S,Galapagos Time,2020-06-01 07:30:32.998,15.97702,2.42324352,-9.693408e+01,1.397167e+03,478.8066,504.1648,2020-06-01 13:30:32,5376.998,2.208383e+00,1.478553e-03,-2.487733,4.7468286,-1.230766449,-2.087420203
2020-06-01 15:00:43.999,-89.74014,-1.3728855,3701,3466,3.33,649816407,2.77,2020-06-01 15:00:00.000,A,18,3,43,0.01,345.37,14.9,NA,true,gps,Phoebastria irrorata,131,4264-84830852,Galapagos Albatrosses,195061.0,9848079.81,16S,Galapagos Time,2020-06-01 09:00:43.999,15.87366,3.20953894,-9.033604e+01,1.397167e+03,479.7438,504.9757,2020-06-01 15:00:43,5411.001,4.507996e+00,2.999220e-03,-2.9816284,4.7362504,0.792425086,-3.110177276
2020-06-01 16:30:29.000,-89.74007,-1.3728250,3696,3515,8.19,3919027329,2.70,2020-06-01 16:30:01.000,A,23,3,28,0.03,39.32,35.1,NA,true,gps,Phoebastria irrorata,131,4264-84830852,Galapagos Albatrosses,195068.6,9848086.51,16S,Galapagos Time,2020-06-01 10:30:29.000,15.77087,4.01761103,-8.638079e+01,1.397167e+03,480.6983,505.7642,2020-06-01 16:30:29,5385.001,1.017736e+01,6.803806e-03,-3.473146,4.725733,-2.344486593,-3.262603409
2020-06-01 18:01:02.001,-89.74015,-1.3728943,3696,3496,2.30,4157040457,0.24,2020-06-01 18:00:00.000,A,33,3,62,0.00,34.73,26.9,NA,true,gps,Phoebastria irrorata,131,4264-84830852,Galapagos Albatrosses,195059.4,9848078.83,16S,Galapagos Time,2020-06-01 12:01:02.001,15.66931,4.83124590,-8.373055e+01,1.397167e+03,481.6138,506.5824,2020-06-01 18:01:02,5433.001,1.200411e+01,7.954128e-03,-3.9602218,4.7184696,-2.3023474,-4.24736782
2020-06-01 19:30:19.000,-89.74013,-1.3728729,3696,3548,6.66,1114098353,3.29,2020-06-01 19:30:00.000,A,34,3,19,0.19,22.94,12.5,NA,true,gps,Phoebastria irrorata,131,4264-84830852,Galapagos Albatrosses,195061.9,9848081.20,16S,Galapagos Time,2020-06-01 13:30:19.000,15.76349,4.40874100,-8.054124e+01,1.397167e+03,482.5489,507.3737,2020-06-01 19:30:19,5356.999,3.476512e+00,2.336279e-03,-3.6846733,4.9982424,-1.02779645,-4.28726389
2020-06-01 21:00:38.000,-89.74012,-1.3729269,3701,3498,8.96,706079205,0.92,2020-06-01 21:00:00.000,A,26,3,38,0.01,173.67,16.1,NA,true,gps,Phoebastria irrorata,131,4264-84830852,Galapagos Albatrosses,195063.8,9848075.23,16S,Galapagos Time,2020-06-01 15:00:38.000,15.85873,3.99815917,-7.664177e+01,1.397167e+03,483.4734,508.1714,2020-06-01 21:00:38,5419.000,6.275184e+00,4.168788e-03,-3.4059756,5.281253,-1.346987219,3.764425877
2020-06-01 22:30:44.000,-89.74014,-1.3728923,3696,3505,2.82,3820672220,2.23,2020-06-01 22:30:00.000,A,21,3,44,0.11,36.04,13.0,NA,true,gps,Phoebastria irrorata,131,4264-84830852,Galapagos Albatrosses,195061.5,9848079.05,16S,Galapagos Time,2020-06-01 16:30:44.000,15.95377,3.61116195,-7.189089e+01,1.397167e+03,484.4179,508.9789,2020-06-01 22:30:44,5406.000,4.443528e+00,2.959064e-03,-3.1278856,5.5635805,-1.111767015,-3.435762613
2020-06-02 00:00:53.998,-89.74924,-1.3818666,3693,3486,3.58,1855240337,2.44,2020-06-01 23:59:59.000,A,10,3,54,0.42,309.33,-3.6,NA,true,gps,Phoebastria irrorata,131,4264-84830852,Galapagos Albatrosses,194048.5,9847084.80,16S,Galapagos Time,2020-06-01 18:00:53.998,16.04559,3.25700998,-6.600416e+01,3.775063e+03,482.3457,491.8646,2020-06-02 00:00:53,5409.998,1.421455e+03,9.458854e-01,-2.8570423,5.8398986,3.14106018,-0.861310024
2020-06-02 01:30:32.000,-89.77843,-1.3691129,3701,3476,5.12,1336507950,3.26,2020-06-02 01:30:01.000,A,11,3,31,0.85,309.33,-2.9,NA,true,gps,Phoebastria irrorata,131,4264-84830852,Galapagos Albatrosses,190796.5,9848492.36,16S,Galapagos Time,2020-06-01 19:30:32.000,16.13461,3.40374422,-5.109698e+01,1.397167e+03,497.0359,513.2304,2020-06-02 01:30:32,5378.002,3.540648e+03,2.370087e+00,-3.0353744,5.667928,3.403649706,-0.025365171
2020-06-02 03:00:50.000,-89.80625,-1.3448136,3701,3471,4.86,2081460485,2.86,2020-06-02 03:00:00.000,A,12,3,50,0.68,338.82,-9.6,NA,true,gps,Phoebastria irrorata,131,4264-84830852,Galapagos Albatrosses,187694.8,9851177.81,16S,Galapagos Time,2020-06-01 21:00:50.000,16.22577,3.75605512,-3.807221e+01,6.451900e+03,506.5457,530.4822,2020-06-02 03:00:50,5418.000,4.106687e+03,2.728696e+00,-3.2119908,5.496028,3.593992983,-1.091404829
2020-06-02 04:30:50.001,-89.82525,-1.3294317,3701,3486,3.07,3783800200,2.15,2020-06-02 04:30:00.000,A,12,3,50,0.53,345.37,-8.5,NA,true,gps,Phoebastria irrorata,131,4264-84830852,Galapagos Albatrosses,185576.7,9852877.62,16S,Galapagos Time,2020-06-01 22:30:50.001,16.31363,4.26272440,-2.771197e+01,1.177220e+04,511.5362,536.6843,2020-06-02 04:30:50,5400.001,2.717789e+03,1.811859e+00,-3.4032521,5.3255343,4.152094947,-0.964845513
2020-06-02 06:00:50.000,-89.83976,-1.3172134,3698,3471,3.33,1074129097,2.50,2020-06-02 06:00:00.000,A,11,3,50,0.42,306.05,-2.7,NA,true,gps,Phoebastria irrorata,131,4264-84830852,Galapagos Albatrosses,183958.9,9854227.93,16S,Galapagos Time,2020-06-02 00:00:50.000,16.39865,4.86920595,-1.979025e+01,1.177220e+04,515.3473,540.5075,2020-06-02 06:00:50,5399.999,2.109007e+03,1.406005e+00,-3.5993521,5.1623874,4.029147318,2.734069947
2020-06-02 07:30:47.001,-89.85607,-1.3115899,3693,3458,4.86,3879029616,3.16,2020-06-02 07:30:00.000,A,11,3,47,0.28,310.64,4.2,NA,true,gps,Phoebastria irrorata,131,4264-84830852,Galapagos Albatrosses,182141.5,9854848.20,16S,Galapagos Time,2020-06-02 01:30:47.001,16.33359,4.69271994,-1.904623e+01,1.177220e+04,518.6335,543.9991,2020-06-02 07:30:47,5397.001,1.917890e+03,1.279304e+00,-3.4962006,5.7321477,4.051104388,2.368580518
2020-06-02 09:00:50.001,-89.86664,-1.3089222,3698,3486,3.58,10003762,4.28,2020-06-02 09:00:00.000,A,11,3,50,0.51,269.35,12.5,NA,true,gps,Phoebastria irrorata,131,4264-84830852,Galapagos Albatrosses,180963.9,9855142.09,16S,Galapagos Time,2020-06-02 03:00:50.001,16.26865,4.51814890,-1.824961e+01,1.585267e+04,521.0290,547.1569,2020-06-02 09:00:50,5403.000,1.211823e+03,8.074333e-01,-3.39735,6.3031893,1.366122875,4.306666666
2020-06-02 10:30:45.001,-89.88367,-1.3082411,3701,3476,3.33,2292451375,2.53,2020-06-02 10:30:00.000,A,11,3,45,1.07,327.68,-13.5,NA,true,gps,Phoebastria irrorata,131,4264-84830852,Galapagos Albatrosses,179066.8,9855215.29,16S,Galapagos Time,2020-06-02 04:30:45.001,16.20306,4.34602261,-1.740033e+01,1.585267e+04,523.8654,553.1906,2020-06-02 10:30:45,5395.000,1.894781e+03,1.264358e+00,-3.2993648,6.8739953,4.199508397,1.118946716
2020-06-02 12:00:44.000,-89.95447,-1.1941339,3701,3471,8.45,2563322236,4.81,2020-06-02 12:00:00.000,A,10,3,44,0.86,277.22,-19.0,NA,true,gps,Phoebastria irrorata,131,4264-84830852,Galapagos Albatrosses,171165.8,9867835.33,16S,Galapagos Time,2020-06-02 06:00:44.000,16.16983,4.15838957,-1.659357e+01,3.006228e+04,561.6982,583.7965,2020-06-02 12:00:44,5398.999,1.493121e+04,9.955982e+00,-3.1289396,7.4529996,1.678999628,3.80436119
2020-06-02 13:30:51.000,-89.97349,-1.1757465,3701,3476,3.07,2839066040,3.06,2020-06-02 13:30:00.000,A,14,3,51,0.63,283.77,-3.6,NA,true,gps,Phoebastria irrorata,131,4264-84830852,Galapagos Albatrosses,169045.1,9869868.17,16S,Galapagos Time,2020-06-02 07:30:51.000,16.35324,4.64829779,-2.220671e+01,3.248622e+04,564.4933,593.4958,2020-06-02 13:30:51,5407.000,2.941044e+03,1.958157e+00,-2.721478,7.442103,2.730672047,3.761662201
2020-06-02 15:00:44.000,-89.83214,-1.1570899,3701,3479,3.58,747264370,3.09,2020-06-02 15:00:00.000,A,15,3,44,9.53,77.99,-1.1,NA,true,gps,Phoebastria irrorata,131,4264-84830852,Galapagos Albatrosses,184787.9,9871949.21,16S,Galapagos Time,2020-06-02 09:00:44.000,16.54071,5.16836166,-2.655119e+01,2.489720e+04,543.4701,517.6681,2020-06-02 15:00:44,5393.000,1.584960e+04,1.058011e+01,-2.3411636,7.424636,-1.297651271,-5.002805556
