position #,Time [UTC],Time [LMT],Longitude [deg],Latitude [deg],Altitude [m],Status,Main [V],Beacon [V],Temperature [ÁC]
7660,2/3/19 9:02,2/3/19 3:02,99.37239,15.50644,237,val. GPS-3D,3.28,3.6,35
7657,2/3/19 3:00,2/2/19 21:00,99.37536,15.50819,236,val. GPS-3D,3.28,3.6,31
7656,2/3/19 1:00,2/2/19 19:00,99.37529,15.50808,229,val. GPS-3D,3.28,3.6,22
7655,2/2/19 23:00,2/2/19 17:00,99.37539,15.50794,256,val. GPS-3D,3.28,3.6,26
7654,2/2/19 21:00,2/2/19 15:00,99.37536,15.50802,206,val. GPS-3D,3.28,3.6,26
7653,2/2/19 19:00,2/2/19 13:00,99.37528,15.50786,218,val. GPS-3D,3.28,3.6,27
7652,2/2/19 17:00,2/2/19 11:00,99.37527,15.50801,292,val. GPS-3D,3.28,3.6,26
7651,2/2/19 15:00,2/2/19 9:00,99.37528,15.50802,231,val. GPS-3D,3.28,3.6,26
7650,2/2/19 13:00,2/2/19 7:00,99.37488,15.5083,208,val. GPS-3D,3.28,3.6,30
7649,2/2/19 11:00,2/2/19 5:00,99.37496,15.50805,224,val. GPS-3D,3.28,3.6,31
7648,2/2/19 9:00,2/2/19 3:00,99.37535,15.5082,232,val. GPS-3D,3.28,3.6,35
7646,2/2/19 5:00,2/1/19 23:00,99.37542,15.50836,253,val. GPS-3D,3.36,3.6,35
7645,2/2/19 3:00,2/1/19 21:00,99.37483,15.508,231,val. GPS-3D,3.28,3.6,36
7644,2/2/19 1:03,2/1/19 19:03,99.37449,15.50795,228,val. GPS-3D,3.28,3.6,24
7643,2/1/19 23:00,2/1/19 17:00,99.37275,15.50649,262,val. GPS-3D,3.28,3.6,22
7642,2/1/19 21:00,2/1/19 15:00,99.37279,15.50645,258,val. GPS-3D,3.28,3.6,23
7641,2/1/19 19:00,2/1/19 13:00,99.37268,15.50639,243,val. GPS-3D,3.28,3.6,25
7640,2/1/19 17:00,2/1/19 11:00,99.37278,15.50643,257,val. GPS-3D,3.28,3.6,26
7639,2/1/19 15:01,2/1/19 9:01,99.37288,15.5064,195,val. GPS-3D,3.28,3.6,26
7638,2/1/19 13:00,2/1/19 7:00,99.37325,15.50669,223,val. GPS-3D,3.28,3.6,27
