position #,Time [UTC],Time [LMT],Longitude [deg],Latitude [deg],Altitude [m],Status,Main [V],Beacon [V],Temperature [ĄC]
9622,2/4/19 1:01,2/3/19 19:01,99.29256,15.47998,478,val. GPS-3D,3.28,3.68,21
9620,2/3/19 23:00,2/3/19 17:00,99.29455,15.48029,473,val. GPS-3D,3.28,3.68,21
9619,2/3/19 22:00,2/3/19 16:00,99.29462,15.48037,479,val. GPS-3D,3.28,3.68,21
9618,2/3/19 11:00,2/3/19 5:00,99.2927,15.47999,498,val. GPS-3D,3.28,3.68,36
9617,2/3/19 10:00,2/3/19 4:00,99.29265,15.48004,482,val. GPS-3D,3.28,3.68,37
9616,2/3/19 9:00,2/3/19 3:00,99.2927,15.47997,474,val. GPS-3D,3.28,3.68,36
9615,2/3/19 8:00,2/3/19 2:00,99.29261,15.48002,461,val. GPS-3D,3.28,3.68,33
9614,1/30/19 12:00,1/30/19 6:00,99.23513,15.51531,637,val. GPS-3D,3.28,3.68,21
9613,1/30/19 11:00,1/30/19 5:00,99.23494,15.51526,544,val. GPS-3D,3.28,3.68,21
9612,1/30/19 10:02,1/30/19 4:02,99.23506,15.51519,615,val. GPS-3D,3.28,3.68,21
9611,1/30/19 9:00,1/30/19 3:00,99.23514,15.51527,617,val. GPS-3D,3.28,3.68,22
9610,1/27/19 12:00,1/27/19 6:00,99.23502,15.51523,618,val. GPS-3D,3.28,3.68,19
9609,1/27/19 11:00,1/27/19 5:00,99.23491,15.51524,538,val. GPS-3D,3.28,3.68,20
9608,1/27/19 10:00,1/27/19 4:00,99.23499,15.51528,602,val. GPS-3D,3.28,3.68,21
9607,1/27/19 9:00,1/27/19 3:00,99.23509,15.5153,602,val. GPS-3D,3.28,3.68,21
9606,1/27/19 8:00,1/27/19 2:00,99.23504,15.51515,641,val. GPS-3D,3.28,3.68,22
9605,1/27/19 7:00,1/27/19 1:00,99.23505,15.51524,612,val. GPS-3D,3.28,3.68,22
9604,1/27/19 6:01,1/27/19 0:01,99.235,15.51522,592,val. GPS-3D,3.28,3.68,22
9603,1/27/19 5:00,1/26/19 23:00,99.23494,15.51517,610,val. GPS-3D,3.28,3.68,21
9602,1/27/19 4:00,1/26/19 22:00,99.23509,15.51535,612,val. GPS-3D,3.28,3.68,20
9601,1/27/19 3:00,1/26/19 21:00,99.23501,15.51528,604,val. GPS-3D,3.28,3.68,18
9600,1/27/19 2:01,1/26/19 20:01,99.23512,15.51527,593,val. GPS-3D,3.28,3.68,17
9599,1/27/19 1:00,1/26/19 19:00,99.23532,15.51528,677,val. GPS-3D,3.28,3.68,17
9598,1/27/19 0:01,1/26/19 18:01,99.23505,15.51527,577,val. GPS-3D,3.28,3.68,16
9597,1/26/19 23:00,1/26/19 17:00,99.23522,15.51529,667,val. GPS-3D,3.28,3.68,16
9596,1/26/19 22:00,1/26/19 16:00,99.23516,15.51551,675,val. GPS-3D,3.28,3.68,17
9595,1/26/19 21:01,1/26/19 15:01,99.23492,15.51547,564,val. GPS-3D,3.28,3.68,17
9594,1/26/19 20:00,1/26/19 14:00,99.235,15.51538,601,val. GPS-3D,3.28,3.68,17
9593,1/26/19 19:00,1/26/19 13:00,99.23504,15.51529,567,val. GPS-3D,3.28,3.68,17
9592,1/26/19 18:00,1/26/19 12:00,99.23497,15.51519,624,val. GPS-3D,3.28,3.68,17
9591,1/26/19 17:00,1/26/19 11:00,99.23512,15.51533,622,val. GPS-3D,3.28,3.68,17
9590,1/26/19 16:00,1/26/19 10:00,99.2351,15.51529,629,val. GPS-3D,3.28,3.68,17
9589,1/26/19 15:00,1/26/19 9:00,99.23496,15.5152,584,val. GPS-3D,3.28,3.68,18
9588,1/26/19 14:00,1/26/19 8:00,99.23501,15.51518,599,val. GPS-3D,3.28,3.68,18
9587,1/26/19 13:00,1/26/19 7:00,99.23495,15.5156,611,val. GPS-3D,3.36,3.68,18
9586,1/26/19 12:00,1/26/19 6:00,99.23513,15.51526,688,val. GPS-3D,3.28,3.68,19
9585,1/26/19 11:00,1/26/19 5:00,99.23511,15.51537,613,val. GPS-3D,3.28,3.68,20
9584,1/26/19 10:00,1/26/19 4:00,99.23508,15.51537,636,val. GPS-3D,3.28,3.68,21
9583,1/26/19 9:00,1/26/19 3:00,99.23516,15.5153,631,val. GPS-3D,3.36,3.68,21
9582,1/26/19 8:00,1/26/19 2:00,99.23502,15.51516,605,val. GPS-3D,3.36,3.68,22
9581,1/26/19 7:00,1/26/19 1:00,99.23508,15.51522,614,val. GPS-3D,3.28,3.68,22
9580,1/26/19 6:00,1/26/19 0:00,99.23516,15.51534,693,val. GPS-3D,3.28,3.68,22
9579,1/26/19 5:00,1/25/19 23:00,99.23494,15.51516,593,val. GPS-3D,3.28,3.68,21
9578,1/26/19 4:00,1/25/19 22:00,99.23507,15.51522,599,val. GPS-3D,3.36,3.68,21
9577,1/26/19 3:00,1/25/19 21:00,99.2351,15.51533,605,val. GPS-3D,3.28,3.68,19
9576,1/26/19 2:02,1/25/19 20:02,99.23517,15.51533,651,val. GPS-3D,3.28,3.68,18
9575,1/26/19 1:00,1/25/19 19:00,99.23509,15.51537,642,val. GPS-3D,3.28,3.68,17
9574,1/26/19 0:01,1/25/19 18:01,99.23496,15.51524,568,val. GPS-3D,3.28,3.68,17
9573,1/25/19 23:00,1/25/19 17:00,99.23512,15.5152,627,val. GPS-3D,3.28,3.68,18
9572,1/25/19 22:00,1/25/19 16:00,99.23521,15.51537,726,val. GPS-3D,3.28,3.68,18
9571,1/25/19 21:00,1/25/19 15:00,99.23501,15.51529,592,val. GPS-3D,3.28,3.68,18
9570,1/25/19 20:00,1/25/19 14:00,99.23499,15.51531,630,val. GPS-3D,3.28,3.68,18
9569,1/25/19 19:01,1/25/19 13:01,99.2351,15.51523,602,val. GPS-3D,3.28,3.68,18
9568,1/25/19 18:00,1/25/19 12:00,99.23509,15.51541,627,val. GPS-3D,3.28,3.68,18
9567,1/25/19 17:00,1/25/19 11:00,99.23494,15.51528,664,val. GPS-3D,3.28,3.68,19
9566,1/25/19 16:00,1/25/19 10:00,99.23516,15.51541,634,val. GPS-3D,3.28,3.68,19
9565,1/25/19 15:00,1/25/19 9:00,99.23516,15.51522,574,val. GPS-3D,3.36,3.68,19
9564,1/25/19 14:00,1/25/19 8:00,99.23463,15.51541,671,val. GPS-3D,3.28,3.68,19
9563,1/25/19 13:00,1/25/19 7:00,99.23522,15.51525,651,val. GPS-3D,3.28,3.68,20
9562,1/25/19 12:00,1/25/19 6:00,99.23497,15.51532,668,val. GPS-3D,3.36,3.68,20
9561,1/25/19 11:00,1/25/19 5:00,99.23497,15.51531,605,val. GPS-3D,3.36,3.68,21
9560,1/25/19 10:01,1/25/19 4:01,99.23503,15.51518,599,val. GPS-3D,3.28,3.68,22
9559,1/25/19 9:00,1/25/19 3:00,99.23507,15.51522,627,val. GPS-3D,3.36,3.68,23
9558,1/25/19 8:00,1/25/19 2:00,99.23503,15.51519,625,val. GPS-3D,3.36,3.68,23
9557,1/25/19 7:00,1/25/19 1:00,99.23507,15.51522,614,val. GPS-3D,3.36,3.68,23
9556,1/25/19 6:00,1/25/19 0:00,99.23516,15.51524,612,val. GPS-3D,3.28,3.68,23
9555,1/25/19 5:00,1/24/19 23:00,99.23487,15.51516,615,val. GPS-3D,3.28,3.68,22
9554,1/25/19 4:00,1/24/19 22:00,99.23511,15.51531,601,val. GPS-3D,3.36,3.68,21
9553,1/25/19 3:00,1/24/19 21:00,99.23521,15.51533,612,val. GPS-3D,3.28,3.68,19
9552,1/25/19 2:00,1/24/19 20:00,99.23514,15.5152,629,val. GPS-3D,3.28,3.68,18
9551,1/25/19 1:01,1/24/19 19:01,99.23519,15.51535,637,val. GPS-3D,3.28,3.68,17
9550,1/25/19 0:01,1/24/19 18:01,99.23503,15.51523,624,val. GPS-3D,3.28,3.68,17
9549,1/24/19 23:00,1/24/19 17:00,99.23488,15.51536,602,val. GPS-3D,3.28,3.68,18
9548,1/24/19 22:00,1/24/19 16:00,99.23515,15.5154,638,val. GPS-3D,3.28,3.68,18
