position #,Time [UTC],Time [LMT],Longitude [deg],Latitude [deg],Altitude [m],Status,Main [V],Beacon [V],Temperature [。]
2848,2/2/19 22:00,2/2/19 16:00,99.3031,15.63723,353,val. GPS-3D,3.44,3.68,-103
2847,2/2/19 21:00,2/2/19 15:00,99.31108,15.61607,220,val. GPS-3D,3.44,3.68,-103
2846,2/2/19 20:00,2/2/19 14:00,99.31975,15.5995,199,val. GPS-3D,3.44,3.68,-103
2845,2/2/19 19:02,2/2/19 13:02,99.31165,15.58547,213,val. GPS-3D,3.36,3.68,-103
2843,2/1/19 13:00,2/1/19 7:00,99.33722,15.53797,292,val. GPS-3D,3.44,3.68,-103
2842,2/1/19 12:00,2/1/19 6:00,99.34965,15.5378,352,val. GPS-3D,3.44,3.68,-103
2841,2/1/19 11:00,2/1/19 5:00,99.36129,15.53971,526,val. GPS-3D,3.44,3.68,-103
2840,1/29/19 1:02,1/28/19 19:02,99.38715,15.53507,198,val. GPS-3D,3.36,3.68,-103
2839,1/29/19 0:00,1/28/19 18:00,99.39119,15.5368,191,val. GPS-3D,3.44,3.68,-103
2838,1/28/19 23:00,1/28/19 17:00,99.39075,15.53601,205,val. GPS-3D,3.44,3.68,-103
2837,1/28/19 22:00,1/28/19 16:00,99.39069,15.53608,195,val. GPS-3D,3.44,3.68,-103
2836,1/28/19 21:00,1/28/19 15:00,99.3907,15.53614,206,val. GPS-3D,3.44,3.68,-103
2835,1/28/19 20:01,1/28/19 14:01,99.39058,15.53603,206,val. GPS-3D,3.44,3.68,-103
2834,1/28/19 19:00,1/28/19 13:00,99.39136,15.53679,225,val. GPS-3D,3.44,3.68,-103
2833,1/28/19 18:00,1/28/19 12:00,99.39099,15.53568,188,val. GPS-3D,3.44,3.68,-103
2832,1/28/19 17:01,1/28/19 11:01,99.39101,15.53571,200,val. GPS-3D,3.36,3.68,-103
2830,1/28/19 15:00,1/28/19 9:00,99.39083,15.53566,204,val. GPS-3D,3.44,3.68,-103
2829,1/28/19 14:00,1/28/19 8:00,99.39096,15.53579,183,val. GPS-3D,3.44,3.68,-103
2828,1/28/19 13:00,1/28/19 7:00,99.39085,15.53556,228,val. GPS-3D,3.44,3.68,-103
2827,1/28/19 12:00,1/28/19 6:00,99.39144,15.53674,198,val. GPS-3D,3.44,3.68,-103
2826,1/28/19 11:00,1/28/19 5:00,99.3893,15.53554,199,val. GPS-3D,3.44,3.68,-103
2825,1/28/19 10:03,1/28/19 4:03,99.38936,15.53555,209,GPS-3D,3.36,3.68,-103
2824,1/26/19 18:00,1/26/19 12:00,99.39119,15.5368,237,val. GPS-3D,3.44,3.68,-103
2823,1/26/19 17:00,1/26/19 11:00,99.39129,15.53682,214,val. GPS-3D,3.44,3.68,-103
2822,1/26/19 16:00,1/26/19 10:00,99.39129,15.53674,186,val. GPS-3D,3.44,3.68,-103
2821,1/26/19 15:00,1/26/19 9:00,99.39143,15.53672,201,val. GPS-3D,3.44,3.68,-103
2820,1/26/19 14:01,1/26/19 8:01,99.39113,15.53558,190,val. GPS-3D,3.36,3.68,-103
2819,1/26/19 13:00,1/26/19 7:00,99.39136,15.53563,206,val. GPS-3D,3.44,3.68,-103
2818,1/26/19 12:00,1/26/19 6:00,99.39111,15.53559,194,val. GPS-3D,3.44,3.68,-103
2817,1/26/19 11:00,1/26/19 5:00,99.39114,15.5357,189,val. GPS-3D,3.44,3.68,-103
2816,1/26/19 10:01,1/26/19 4:01,99.39115,15.53565,207,val. GPS-3D,3.44,3.68,-103
2815,1/26/19 9:00,1/26/19 3:00,99.39114,15.53554,222,val. GPS-3D,3.44,3.68,-103
2814,1/26/19 8:01,1/26/19 2:01,99.39152,15.53674,222,val. GPS-3D,3.44,3.68,-103
2813,1/26/19 7:00,1/26/19 1:00,99.39017,15.53576,169,val. GPS-3D,3.44,3.68,-103
2812,1/26/19 6:00,1/26/19 0:00,99.3903,15.53591,263,val. GPS-3D,3.44,3.68,-103
2811,1/26/19 5:00,1/25/19 23:00,99.39023,15.53583,198,val. GPS-3D,3.44,3.68,-103
2810,1/26/19 4:00,1/25/19 22:00,99.39023,15.53581,180,val. GPS-3D,3.44,3.68,-103
2809,1/26/19 3:00,1/25/19 21:00,99.38995,15.53593,232,val. GPS-3D,3.44,3.68,-103
2808,1/26/19 2:03,1/25/19 20:03,99.39014,15.53608,238,GPS-3D,3.36,3.68,-103
2807,1/26/19 1:03,1/25/19 19:03,99.3901,15.53595,208,GPS-3D,3.36,3.68,-103
2806,1/26/19 0:03,1/25/19 18:03,99.39,15.53599,228,GPS-3D,3.36,3.68,-103
2805,1/25/19 23:00,1/25/19 17:00,99.3901,15.53593,194,val. GPS-3D,3.44,3.68,-103
2804,1/25/19 22:00,1/25/19 16:00,99.39008,15.53588,184,val. GPS-3D,3.44,3.68,-103
2803,1/25/19 21:00,1/25/19 15:00,99.39697,15.53444,180,val. GPS-3D,3.44,3.68,-103
2802,1/25/19 20:00,1/25/19 14:00,99.3985,15.53394,193,val. GPS-3D,3.44,3.68,-103
2801,1/25/19 19:00,1/25/19 13:00,99.39855,15.53385,168,val. GPS-3D,3.44,3.68,-103
2800,1/25/19 18:00,1/25/19 12:00,99.39855,15.53393,181,val. GPS-3D,3.44,3.68,-103
2799,1/25/19 17:00,1/25/19 11:00,99.39864,15.53392,187,val. GPS-3D,3.44,3.68,-103
2798,1/25/19 16:00,1/25/19 10:00,99.39848,15.5339,179,val. GPS-3D,3.44,3.68,-103
2797,1/25/19 15:01,1/25/19 9:01,99.39863,15.53389,207,val. GPS-3D,3.44,3.68,-103
2796,1/25/19 14:00,1/25/19 8:00,99.39847,15.53388,159,val. GPS-3D,3.44,3.68,-103
2795,1/25/19 13:00,1/25/19 7:00,99.39828,15.53441,178,val. GPS-3D,3.44,3.68,-103
2794,1/25/19 12:00,1/25/19 6:00,99.39803,15.53435,174,val. GPS-3D,3.44,3.68,-103
2793,1/25/19 11:00,1/25/19 5:00,99.39805,15.53422,185,val. GPS-3D,3.44,3.68,-103
2792,1/25/19 10:01,1/25/19 4:01,99.39804,15.53424,165,val. GPS-3D,3.44,3.68,-103
2791,1/25/19 9:00,1/25/19 3:00,99.39853,15.53438,184,val. GPS-3D,3.44,3.68,-103
2790,1/25/19 8:00,1/25/19 2:00,99.39834,15.53421,177,val. GPS-3D,3.44,3.68,-103
2789,1/25/19 7:00,1/25/19 1:00,99.39853,15.53431,172,val. GPS-3D,3.44,3.68,-103
2788,1/25/19 6:00,1/25/19 0:00,99.39854,15.53431,188,val. GPS-3D,3.44,3.68,-103
2787,1/25/19 5:00,1/24/19 23:00,99.39851,15.53435,174,val. GPS-3D,3.44,3.68,-103
2786,1/25/19 4:00,1/24/19 22:00,99.39847,15.53428,195,val. GPS-3D,3.44,3.68,-103
2785,1/25/19 3:01,1/24/19 21:01,99.39847,15.53385,184,val. GPS-3D,3.44,3.68,-103
2783,1/25/19 1:00,1/24/19 19:00,99.39858,15.53392,188,val. GPS-3D,3.44,3.68,-103
2782,1/25/19 0:00,1/24/19 18:00,99.39871,15.53389,191,val. GPS-3D,3.44,3.68,-103
2781,1/24/19 23:00,1/24/19 17:00,99.39863,15.53373,212,val. GPS-3D,3.44,3.68,-103
2780,1/24/19 22:00,1/24/19 16:00,99.39842,15.53393,185,val. GPS-3D,3.44,3.68,-103
2779,1/24/19 21:00,1/24/19 15:00,99.40091,15.52963,191,val. GPS-3D,3.44,3.68,-103
2778,1/24/19 20:00,1/24/19 14:00,99.41308,15.52871,162,val. GPS-3D,3.44,3.68,-103
2777,1/24/19 19:00,1/24/19 13:00,99.41075,15.53573,167,val. GPS-3D,3.44,3.68,-103
2776,1/24/19 18:00,1/24/19 12:00,99.40154,15.5384,203,val. GPS-3D,3.44,3.68,-103
2775,1/24/19 17:00,1/24/19 11:00,99.40158,15.53836,188,val. GPS-3D,3.44,3.68,-103
2774,1/24/19 16:03,1/24/19 10:03,99.4016,15.53835,201,GPS-3D,3.36,3.68,-103
2773,1/24/19 15:00,1/24/19 9:00,99.399,15.53735,202,val. GPS-3D,3.44,3.68,-103
2772,1/24/19 14:00,1/24/19 8:00,99.39464,15.52576,209,val. GPS-3D,3.44,3.68,-103
2771,1/24/19 13:00,1/24/19 7:00,99.39148,15.51858,221,val. GPS-3D,3.44,3.68,-103
2770,1/24/19 12:00,1/24/19 6:00,99.38819,15.51918,202,val. GPS-3D,3.44,3.68,-103
2769,1/24/19 11:01,1/24/19 5:01,99.37968,15.51961,222,val. GPS-3D,3.44,3.68,-103
2768,1/24/19 10:01,1/24/19 4:01,99.36513,15.5165,280,val. GPS-3D,3.44,3.68,-103
2767,1/24/19 9:00,1/24/19 3:00,99.3575,15.51225,317,val. GPS-3D,3.44,3.68,-103
2766,1/24/19 8:00,1/24/19 2:00,99.35756,15.51218,307,val. GPS-3D,3.44,3.68,-103
2765,1/24/19 7:00,1/24/19 1:00,99.35138,15.50929,353,val. GPS-3D,3.44,3.68,-103
2764,1/24/19 6:00,1/24/19 0:00,99.35115,15.5094,367,val. GPS-3D,3.44,3.68,-103
2763,1/24/19 5:00,1/23/19 23:00,99.35107,15.50938,359,val. GPS-3D,3.44,3.68,-103
2762,1/24/19 4:00,1/23/19 22:00,99.344,15.50708,417,val. GPS-3D,3.44,3.68,-103
2761,1/24/19 3:00,1/23/19 21:00,99.34119,15.50662,438,val. GPS-3D,3.44,3.68,-103
2760,1/23/19 13:00,1/23/19 7:00,99.31012,15.50772,303,val. GPS-3D,3.44,3.68,-103
2759,1/23/19 12:01,1/23/19 6:01,99.30468,15.50887,301,val. GPS-3D,3.44,3.68,-103
2758,1/23/19 11:01,1/23/19 5:01,99.29786,15.50999,284,val. GPS-3D,3.44,3.68,-103
2757,1/23/19 10:00,1/23/19 4:00,99.29084,15.51184,286,val. GPS-3D,3.44,3.68,-103
2756,1/22/19 1:00,1/21/19 19:00,99.31746,15.64332,353,val. GPS-3D,3.44,3.68,-103
2755,1/22/19 0:01,1/21/19 18:01,99.33129,15.64475,404,val. GPS-3D,3.44,3.68,-103
2754,1/21/19 23:00,1/21/19 17:00,99.33687,15.64704,472,val. GPS-3D,3.44,3.68,-103
2753,1/21/19 22:00,1/21/19 16:00,99.33691,15.64733,463,val. GPS-3D,3.44,3.68,-103
2752,1/21/19 21:00,1/21/19 15:00,99.33988,15.6432,336,val. GPS-3D,3.44,3.68,-103
2751,1/21/19 20:01,1/21/19 14:01,99.34804,15.63226,215,val. GPS-3D,3.44,3.68,-103
2750,1/21/19 19:00,1/21/19 13:00,99.34774,15.63249,199,val. GPS-3D,3.44,3.68,-103
2749,1/21/19 18:00,1/21/19 12:00,99.34775,15.63255,191,val. GPS-3D,3.44,3.68,-103
2748,1/21/19 17:00,1/21/19 11:00,99.34776,15.63241,222,val. GPS-3D,3.44,3.68,-103
2747,1/21/19 16:00,1/21/19 10:00,99.35227,15.62085,210,val. GPS-3D,3.44,3.68,-103
2746,1/21/19 15:00,1/21/19 9:00,99.3567,15.61911,192,val. GPS-3D,3.44,3.68,-103
2745,1/21/19 14:00,1/21/19 8:00,99.3687,15.60938,212,val. GPS-3D,3.44,3.68,-103
2744,1/21/19 13:00,1/21/19 7:00,99.37859,15.59533,170,val. GPS-3D,3.44,3.68,-103
2743,1/21/19 12:00,1/21/19 6:00,99.38785,15.58076,168,val. GPS-3D,3.44,3.68,-103
2742,1/21/19 11:00,1/21/19 5:00,99.38943,15.58172,160,val. GPS-3D,3.44,3.68,-103
2741,1/21/19 10:00,1/21/19 4:00,99.38923,15.58244,142,val. GPS-3D,3.44,3.68,-103
2740,1/21/19 9:00,1/21/19 3:00,99.38919,15.58239,153,val. GPS-3D,3.44,3.68,-103
2739,1/21/19 8:00,1/21/19 2:00,99.38936,15.5824,178,val. GPS-3D,3.44,3.68,-103
2738,1/21/19 7:00,1/21/19 1:00,99.38927,15.58241,151,val. GPS-3D,3.44,3.68,-103
2737,1/21/19 6:00,1/21/19 0:00,99.38926,15.58236,166,val. GPS-3D,3.44,3.68,-103
2736,1/20/19 17:01,1/20/19 11:01,99.36461,15.57637,189,val. GPS-3D,3.44,3.68,-103
2735,1/20/19 16:00,1/20/19 10:00,99.36163,15.56825,218,val. GPS-3D,3.44,3.68,-103
2734,1/20/19 15:00,1/20/19 9:00,99.36178,15.56616,220,val. GPS-3D,3.44,3.68,-103
2733,1/20/19 14:00,1/20/19 8:00,99.35664,15.56174,246,val. GPS-3D,3.44,3.68,-103
2732,1/20/19 13:00,1/20/19 7:00,99.33786,15.56915,204,val. GPS-3D,3.44,3.68,-103
2731,1/20/19 12:00,1/20/19 6:00,99.33747,15.5759,207,val. GPS-3D,3.44,3.68,-103
2730,1/20/19 11:00,1/20/19 5:00,99.33078,15.57611,211,val. GPS-3D,3.44,3.68,-103
2729,1/20/19 10:00,1/20/19 4:00,99.32362,15.57407,223,val. GPS-3D,3.44,3.68,-103
2728,1/20/19 9:00,1/20/19 3:00,99.32287,15.57286,174,val. GPS-3D,3.44,3.68,-103
2727,1/20/19 8:00,1/20/19 2:00,99.3227,15.57284,132,val. GPS-3D,3.44,3.68,-103
2726,1/20/19 7:00,1/20/19 1:00,99.32296,15.57282,185,val. GPS-3D,3.44,3.68,-103
2725,1/20/19 6:00,1/20/19 0:00,99.32278,15.57275,188,val. GPS-3D,3.44,3.68,-103
2724,1/20/19 5:00,1/19/19 23:00,99.32286,15.57289,232,val. GPS-3D,3.44,3.68,-103
2723,1/20/19 4:00,1/19/19 22:00,99.32289,15.57283,195,val. GPS-3D,3.44,3.68,-103
2721,1/20/19 2:00,1/19/19 20:00,99.32534,15.55341,226,val. GPS-3D,3.44,3.68,-103
2720,1/20/19 1:00,1/19/19 19:00,99.32528,15.54837,206,val. GPS-3D,3.44,3.68,-103
2719,1/20/19 0:01,1/19/19 18:01,99.3252,15.54834,220,val. GPS-3D,3.36,3.68,-103
2716,1/19/19 21:00,1/19/19 15:00,99.32543,15.54829,276,val. GPS-3D,3.44,3.68,-103
2715,1/19/19 20:00,1/19/19 14:00,99.32518,15.54822,193,val. GPS-3D,3.44,3.68,-103
2714,1/19/19 19:00,1/19/19 13:00,99.32515,15.54837,252,val. GPS-3D,3.44,3.68,-103
2713,1/19/19 18:00,1/19/19 12:00,99.32537,15.54832,244,val. GPS-3D,3.44,3.68,-103
2711,1/19/19 16:01,1/19/19 10:01,99.32533,15.54824,228,val. GPS-3D,3.36,3.68,-103
2710,1/19/19 15:01,1/19/19 9:01,99.32506,15.54835,201,val. GPS-3D,3.36,3.68,-103
2709,1/19/19 14:01,1/19/19 8:01,99.32445,15.54698,237,val. GPS-3D,3.36,3.68,-103
2708,1/19/19 13:00,1/19/19 7:00,99.32228,15.54605,235,val. GPS-3D,3.44,3.68,-103
2707,1/19/19 12:00,1/19/19 6:00,99.31564,15.53746,241,val. GPS-3D,3.44,3.68,-103
2706,1/19/19 11:00,1/19/19 5:00,99.31587,15.53848,237,val. GPS-3D,3.44,3.68,-103
2705,1/19/19 10:01,1/19/19 4:01,99.31593,15.53846,231,val. GPS-3D,3.44,3.68,-103
2704,1/19/19 9:00,1/19/19 3:00,99.31602,15.53834,294,val. GPS-3D,3.44,3.68,-103
2703,1/19/19 8:00,1/19/19 2:00,99.316,15.53841,273,val. GPS-3D,3.44,3.68,-103
2702,1/19/19 7:00,1/19/19 1:00,99.31591,15.5385,245,val. GPS-3D,3.44,3.68,-103
2701,1/19/19 6:00,1/19/19 0:00,99.31579,15.53835,259,val. GPS-3D,3.44,3.68,-103
2700,1/19/19 5:00,1/18/19 23:00,99.31606,15.53844,247,val. GPS-3D,3.44,3.68,-103
2698,1/19/19 3:00,1/18/19 21:00,99.31562,15.53751,259,val. GPS-3D,3.44,3.68,-103
2697,1/19/19 2:00,1/18/19 20:00,99.31513,15.53744,227,val. GPS-3D,3.44,3.68,-103
2695,1/19/19 0:00,1/18/19 18:00,99.31562,15.53752,255,val. GPS-3D,3.44,3.68,-103
2694,1/18/19 23:00,1/18/19 17:00,99.31545,15.53745,246,val. GPS-3D,3.44,3.68,-103
2693,1/18/19 22:00,1/18/19 16:00,99.31556,15.53741,245,val. GPS-3D,3.44,3.68,-103
2692,1/18/19 5:00,1/17/19 23:00,99.31561,15.53743,263,val. GPS-3D,3.44,3.68,-103
2691,1/18/19 4:01,1/17/19 22:01,99.31566,15.53745,277,val. GPS-3D,3.44,3.68,-103
2690,1/18/19 3:00,1/17/19 21:00,99.31572,15.53753,304,val. GPS-3D,3.44,3.68,-103
2689,1/18/19 2:00,1/17/19 20:00,99.31577,15.53743,268,val. GPS-3D,3.44,3.68,-103
2688,1/18/19 1:03,1/17/19 19:03,99.31573,15.53748,262,GPS-3D,3.36,3.68,-103
2687,1/18/19 0:02,1/17/19 18:02,99.32088,15.52747,305,val. GPS-3D,3.36,3.68,-103
2686,1/17/19 23:00,1/17/19 17:00,99.32069,15.52728,321,val. GPS-3D,3.44,3.68,-103
2685,1/17/19 22:00,1/17/19 16:00,99.32046,15.52738,364,val. GPS-3D,3.44,3.68,-103
2682,1/17/19 19:00,1/17/19 13:00,99.32311,15.51048,461,val. GPS-3D,3.44,3.68,-103
2681,1/17/19 18:01,1/17/19 12:01,99.31836,15.50583,371,val. GPS-3D,3.36,3.68,-103
2680,1/17/19 0:00,1/16/19 18:00,99.28385,15.52816,253,val. GPS-3D,3.44,3.68,-103
2679,1/16/19 23:00,1/16/19 17:00,99.28243,15.54225,313,val. GPS-3D,3.44,3.68,-103
2678,1/16/19 22:00,1/16/19 16:00,99.28206,15.54226,450,val. GPS-3D,3.44,3.68,-103
2677,1/16/19 21:00,1/16/19 15:00,99.28223,15.54232,247,val. GPS-3D,3.44,3.68,-103
2676,1/15/19 15:00,1/15/19 9:00,99.28753,15.63191,660,val. GPS-3D,3.44,3.68,-103
2675,1/15/19 14:00,1/15/19 8:00,99.28759,15.63181,582,val. GPS-3D,3.44,3.68,-103
2674,1/15/19 13:00,1/15/19 7:00,99.2877,15.63158,560,val. GPS-3D,3.44,3.68,-103
2673,1/15/19 12:01,1/15/19 6:01,99.29369,15.63964,454,val. GPS-3D,3.44,3.68,-103
2672,1/15/19 11:00,1/15/19 5:00,99.30055,15.64036,399,val. GPS-3D,3.44,3.68,-103
2671,1/15/19 10:01,1/15/19 4:01,99.31807,15.63278,217,val. GPS-3D,3.44,3.68,-103
2670,1/15/19 9:00,1/15/19 3:00,99.31919,15.63109,235,val. GPS-3D,3.44,3.68,-103
2669,1/15/19 8:00,1/15/19 2:00,99.31921,15.63111,209,val. GPS-3D,3.44,3.68,-103
2668,1/15/19 7:00,1/15/19 1:00,99.3192,15.63111,203,val. GPS-3D,3.44,3.68,-103
2667,1/15/19 6:00,1/15/19 0:00,99.31918,15.63113,190,val. GPS-3D,3.44,3.68,-103
2666,1/15/19 5:00,1/14/19 23:00,99.31923,15.6311,209,val. GPS-3D,3.44,3.68,-103
2665,1/15/19 4:00,1/14/19 22:00,99.31917,15.63111,212,val. GPS-3D,3.44,3.68,-103
2664,1/15/19 3:01,1/14/19 21:01,99.31924,15.63115,217,val. GPS-3D,3.44,3.68,-103
2663,1/15/19 2:01,1/14/19 20:01,99.31927,15.63123,224,val. GPS-3D,3.44,3.68,-103
2661,1/15/19 0:03,1/14/19 18:03,99.32915,15.61885,279,GPS-3D,3.36,3.68,-103
2660,1/14/19 23:03,1/14/19 17:03,99.34622,15.60546,187,GPS-3D,3.36,3.68,-103
2658,1/14/19 21:00,1/14/19 15:00,99.38013,15.58895,132,val. GPS-3D,3.44,3.68,-103
2657,1/14/19 20:00,1/14/19 14:00,99.3811,15.5839,164,val. GPS-3D,3.44,3.68,-103
2656,1/14/19 19:03,1/14/19 13:03,99.39332,15.58026,134,GPS-3D,3.36,3.68,-103
2655,1/14/19 18:02,1/14/19 12:02,99.39393,15.56486,224,GPS-3D,3.36,3.68,-103
2654,1/14/19 17:00,1/14/19 11:00,99.38756,15.55034,200,val. GPS-3D,3.44,3.68,-103
2653,1/14/19 16:00,1/14/19 10:00,99.39263,15.53494,192,val. GPS-3D,3.44,3.68,-103
2652,1/14/19 15:00,1/14/19 9:00,99.39216,15.51916,192,val. GPS-3D,3.44,3.68,-103
2651,1/14/19 14:00,1/14/19 8:00,99.3909,15.50186,204,val. GPS-3D,3.44,3.68,-103
2650,1/14/19 13:00,1/14/19 7:00,99.3855,15.49113,280,val. GPS-3D,3.44,3.68,-103
2649,1/14/19 12:01,1/14/19 6:01,99.38261,15.49083,293,val. GPS-3D,3.44,3.68,-103
2648,1/14/19 11:00,1/14/19 5:00,99.38293,15.49074,330,val. GPS-3D,3.44,3.68,-103
2647,1/14/19 10:01,1/14/19 4:01,99.38282,15.49093,344,val. GPS-3D,3.44,3.68,-103
2638,1/14/19 1:02,1/13/19 19:02,99.38541,15.48645,307,val. GPS-3D,3.44,3.68,-103
2636,1/13/19 23:00,1/13/19 17:00,99.38538,15.48643,329,val. GPS-3D,3.44,3.68,-103
2635,1/13/19 22:00,1/13/19 16:00,99.38599,15.48611,278,val. GPS-3D,3.44,3.68,-103
2634,1/13/19 21:00,1/13/19 15:00,99.3854,15.48649,319,val. GPS-3D,3.44,3.68,-103
2633,1/13/19 20:00,1/13/19 14:00,99.38515,15.48657,325,val. GPS-3D,3.44,3.68,-103
2632,1/13/19 19:00,1/13/19 13:00,99.38525,15.48654,269,val. GPS-3D,3.44,3.68,-103
2631,1/13/19 18:01,1/13/19 12:01,99.38526,15.48648,284,val. GPS-3D,3.44,3.68,-103
2630,1/13/19 17:00,1/13/19 11:00,99.38454,15.4868,321,val. GPS-3D,3.44,3.68,-103
2629,1/13/19 16:00,1/13/19 10:00,99.38478,15.48671,345,val. GPS-3D,3.44,3.68,-103
2628,1/13/19 15:00,1/13/19 9:00,99.3846,15.48659,273,val. GPS-3D,3.44,3.68,-103
2627,1/13/19 14:00,1/13/19 8:00,99.38533,15.48638,282,val. GPS-3D,3.44,3.68,-103
2626,1/13/19 13:00,1/13/19 7:00,99.38458,15.48663,325,val. GPS-3D,3.44,3.68,-103
2625,1/13/19 12:00,1/13/19 6:00,99.39137,15.48638,200,val. GPS-3D,3.44,3.68,-103
2624,1/13/19 11:00,1/13/19 5:00,99.39006,15.47327,222,val. GPS-3D,3.44,3.68,-103
2623,1/13/19 10:00,1/13/19 4:00,99.38822,15.46463,241,val. GPS-3D,3.44,3.68,-103
2621,1/13/19 8:02,1/13/19 2:02,99.38837,15.46454,227,val. GPS-3D,3.44,3.68,-103
2619,1/13/19 6:00,1/13/19 0:00,99.38841,15.46452,250,val. GPS-3D,3.44,3.68,-103
2618,1/13/19 5:00,1/12/19 23:00,99.38839,15.46453,252,val. GPS-3D,3.44,3.68,-103
2617,1/13/19 4:00,1/12/19 22:00,99.38831,15.46459,257,val. GPS-3D,3.44,3.68,-103
2616,1/13/19 3:00,1/12/19 21:00,99.38836,15.46453,258,val. GPS-3D,3.44,3.68,-103
2615,1/13/19 2:01,1/12/19 20:01,99.38833,15.4645,263,val. GPS-3D,3.44,3.68,-103
2612,1/12/19 23:00,1/12/19 17:00,99.34978,15.47617,711,val. GPS-3D,3.44,3.68,-103
2611,1/12/19 22:00,1/12/19 16:00,99.3497,15.47618,744,val. GPS-3D,3.44,3.68,-103
2610,1/12/19 21:00,1/12/19 15:00,99.34975,15.47625,732,val. GPS-3D,3.44,3.68,-103
2609,1/12/19 20:01,1/12/19 14:01,99.34977,15.47616,759,val. GPS-3D,3.44,3.68,-103
2608,1/12/19 19:00,1/12/19 13:00,99.3497,15.47613,713,val. GPS-3D,3.44,3.68,-103
2607,1/12/19 18:01,1/12/19 12:01,99.34971,15.47618,744,val. GPS-3D,3.44,3.68,-103
2606,1/12/19 17:00,1/12/19 11:00,99.34971,15.4762,721,val. GPS-3D,3.44,3.68,-103
2605,1/12/19 16:00,1/12/19 10:00,99.34966,15.4761,726,val. GPS-3D,3.44,3.68,-103
2604,1/12/19 15:01,1/12/19 9:01,99.34333,15.47622,809,val. GPS-3D,3.44,3.68,-103
2603,1/12/19 14:01,1/12/19 8:01,99.34024,15.47998,830,GPS-3D,3.36,3.68,-103
2602,1/12/19 13:00,1/12/19 7:00,99.34218,15.47817,789,val. GPS-3D,3.44,3.68,-103
2601,1/12/19 12:01,1/12/19 6:01,99.34307,15.47856,760,val. GPS-3D,3.36,3.68,-103
2599,1/12/19 10:00,1/12/19 4:00,99.34593,15.50026,416,val. GPS-3D,3.44,3.68,-103
2597,1/12/19 8:00,1/12/19 2:00,99.35268,15.50955,362,val. GPS-3D,3.44,3.68,-103
2596,1/12/19 7:00,1/12/19 1:00,99.35273,15.50951,330,val. GPS-3D,3.44,3.68,-103
2595,1/12/19 6:00,1/12/19 0:00,99.3527,15.50946,322,val. GPS-3D,3.44,3.68,-103
